#진원시,규모,위도,경도,위치
2015-04-24 10:14,2.3,35.88 N,129.69 E,경북 포항시 남구 동남동쪽 33km 해역
2015-04-21 2:05,2.1,35.88 N,129.75 E,경북 포항시 남구 동남동쪽 38km 해역
2015-04-15 4:10,2.9,35.14 N,129.93 E,울산 동구 남동쪽 61km 해역
2015-04-13 18:02,3.3,37.18 N,125.47 E,인천 옹진군 연평도 남남서쪽 58km 해역
2015-03-19 16:20,2.7,36.43 N,127.65 E,충북 옥천군 북북동쪽 16km 지역
2015-03-19 12:54,2.2,34.16 N,128.37 E,경남 통영시 욕지도 남남동쪽 54km 해역
2015-03-10 13:10,2.7,37.36 N,125.15 E,인천 옹진군 연평도 남서쪽 59km 해역
2015-02-23 4:54,2.7,32.96 N,126.25 E,제주 제주시 고산 남남동쪽 38km 해역
2015-02-19 14:25,2.1,36.09 N,125.05 E,충남 태안군 서격렬비도 남서쪽 71km 해역
2015-02-03 19:54,2.1,33.61 N,127.57 E,전남 여수시 거문도 남남동쪽 52km 해역
2015-01-31 5:10,2.2,36.60 N,129.45 E,경북 영덕군 북북동쪽 22km 해역
2015-01-08 20:15,3.5,37.51 N,125.63 E,인천 옹진군 연평도 남남서쪽 18km 해역
2015-01-06 13:06,2.8,38.43 N,126.28 E,북한 황해북도 평산 북서쪽 17km 지역
2014-12-30 15:36,2.6,35.21 N,124.79 E,전남 신안군 흑산면 북서쪽 88km 해역
2014-12-24 20:33,2.1,35.89 N,127.33 E,전북 완주군 동쪽 15km 지역
2014-12-15 9:08,2.1,39.09 N,126.52 E,북한 평안남도 양덕 남서쪽 16km 지역
2014-12-08 5:28,3.3,34.75 N,127.17 E,전남 보성군 동남동쪽 8km 지역
2014-11-15 3:31,2.5,38.77 N,126.36 E,북한 황해북도 신계 북북서쪽 34km 지역
2014-11-06 14:48,2.3,33.34 N,125.89 E,제주 제주시 고산 서북서쪽 26km 해역
2014-11-06 4:25,2.5,37.23 N,126.44 E,인천 옹진군 남남서쪽 30km 해역
2014-10-28 19:07,2.2,38.00 N,125.34 E,북한 황해남도 옹진 북북동쪽 8km 지역
2014-10-21 6:33,2.3,35.21 N,129.49 E,부산 기장군 동쪽 24km 해역
